id,toss_winner
1,Royal Challengers Bangalore
2,Rising Pune Supergiant
3,Kolkata Knight Riders
4,Kings XI Punjab
5,Royal Challengers Bangalore
6,Sunrisers Hyderabad
7,Mumbai Indians
8,Royal Challengers Bangalore
9,Rising Pune Supergiant
10,Mumbai Indians
11,Kolkata Knight Riders
12,Mumbai Indians
13,Gujarat Lions
14,Sunrisers Hyderabad
15,Delhi Daredevils
16,Mumbai Indians
17,Royal Challengers Bangalore
18,Delhi Daredevils
19,Kings XI Punjab
20,Gujarat Lions
21,Sunrisers Hyderabad
22,Mumbai Indians
23,Gujarat Lions
24,Delhi Daredevils
25,Rising Pune Supergiant
26,Gujarat Lions
27,Royal Challengers Bangalore
28,Mumbai Indians
29,Kolkata Knight Riders
30,Gujarat Lions
31,Kolkata Knight Riders
32,Kings XI Punjab
33,Royal Challengers Bangalore
34,Gujarat Lions
35,Kings XI Punjab
36,Kolkata Knight Riders
37,Royal Challengers Bangalore
38,Rising Pune Supergiant
39,Delhi Daredevils
40,Rising Pune Supergiant
41,Delhi Daredevils
42,Royal Challengers Bangalore
43,Sunrisers Hyderabad
44,Delhi Daredevils
45,Kolkata Knight Riders
46,Gujarat Lions
47,Mumbai Indians
48,Kolkata Knight Riders
49,Delhi Daredevils
50,Mumbai Indians
51,Delhi Daredevils
52,Sunrisers Hyderabad
53,Kolkata Knight Riders
54,Rising Pune Supergiant
55,Royal Challengers Bangalore
56,Mumbai Indians
57,Kolkata Knight Riders
58,Mumbai Indians
59,Mumbai Indians
60,Royal Challengers Bangalore
61,Chennai Super Kings
62,Rajasthan Royals
63,Mumbai Indians
64,Deccan Chargers
65,Kings XI Punjab
66,Deccan Chargers
67,Mumbai Indians
68,Rajasthan Royals
69,Mumbai Indians
70,Rajasthan Royals
71,Kolkata Knight Riders
72,Deccan Chargers
73,Delhi Daredevils
74,Chennai Super Kings
75,Kolkata Knight Riders
76,Royal Challengers Bangalore
77,Kings XI Punjab
78,Rajasthan Royals
79,Chennai Super Kings
80,Deccan Chargers
81,Kings XI Punjab
82,Delhi Daredevils
83,Chennai Super Kings
84,Kings XI Punjab
85,Deccan Chargers
86,Mumbai Indians
87,Chennai Super Kings
88,Kolkata Knight Riders
89,Rajasthan Royals
90,Mumbai Indians
91,Kings XI Punjab
92,Kolkata Knight Riders
93,Rajasthan Royals
94,Royal Challengers Bangalore
95,Kolkata Knight Riders
96,Mumbai Indians
97,Rajasthan Royals
98,Deccan Chargers
99,Mumbai Indians
100,Delhi Daredevils
101,Royal Challengers Bangalore
102,Deccan Chargers
103,Kolkata Knight Riders
104,Delhi Daredevils
105,Rajasthan Royals
106,Mumbai Indians
107,Royal Challengers Bangalore
108,Kings XI Punjab
109,Delhi Daredevils
110,Rajasthan Royals
111,Deccan Chargers
112,Kings XI Punjab
113,Rajasthan Royals
114,Deccan Chargers
115,Delhi Daredevils
116,Kings XI Punjab
117,Rajasthan Royals
118,Chennai Super Kings
119,Royal Challengers Bangalore
120,Delhi Daredevils
121,Kolkata Knight Riders
122,Chennai Super Kings
123,Kolkata Knight Riders
124,Deccan Chargers
125,Delhi Daredevils
126,Kolkata Knight Riders
127,Royal Challengers Bangalore
128,Deccan Chargers
129,Royal Challengers Bangalore
130,Kings XI Punjab
131,Deccan Chargers
132,Mumbai Indians
133,Delhi Daredevils
134,Kolkata Knight Riders
135,Kings XI Punjab
136,Delhi Daredevils
137,Rajasthan Royals
138,Mumbai Indians
139,Royal Challengers Bangalore
140,Deccan Chargers
141,Delhi Daredevils
142,Kolkata Knight Riders
143,Mumbai Indians
144,Chennai Super Kings
145,Kings XI Punjab
146,Kolkata Knight Riders
147,Deccan Chargers
148,Rajasthan Royals
149,Chennai Super Kings
150,Mumbai Indians
151,Kings XI Punjab
152,Rajasthan Royals
153,Mumbai Indians
154,Delhi Daredevils
155,Deccan Chargers
156,Royal Challengers Bangalore
157,Kings XI Punjab
158,Deccan Chargers
159,Chennai Super Kings
160,Rajasthan Royals
161,Kings XI Punjab
162,Mumbai Indians
163,Deccan Chargers
164,Deccan Chargers
165,Delhi Daredevils
166,Chennai Super Kings
167,Delhi Daredevils
168,Kolkata Knight Riders
169,Chennai Super Kings
170,Delhi Daredevils
171,Royal Challengers Bangalore
172,Deccan Chargers
173,Royal Challengers Bangalore
174,Royal Challengers Bangalore
175,Deccan Chargers
176,Mumbai Indians
177,Delhi Daredevils
178,Kolkata Knight Riders
179,Deccan Chargers
180,Delhi Daredevils
181,Kings XI Punjab
182,Chennai Super Kings
183,Delhi Daredevils
184,Royal Challengers Bangalore
185,Delhi Daredevils
186,Kings XI Punjab
187,Rajasthan Royals
188,Mumbai Indians
189,Deccan Chargers
190,Chennai Super Kings
191,Kolkata Knight Riders
192,Chennai Super Kings
193,Kings XI Punjab
194,Mumbai Indians
195,Deccan Chargers
196,Kolkata Knight Riders
197,Royal Challengers Bangalore
198,Rajasthan Royals
199,Deccan Chargers
200,Delhi Daredevils
201,Mumbai Indians
202,Royal Challengers Bangalore
203,Delhi Daredevils
204,Kolkata Knight Riders
205,Kings XI Punjab
206,Chennai Super Kings
207,Mumbai Indians
208,Kolkata Knight Riders
209,Delhi Daredevils
210,Rajasthan Royals
211,Chennai Super Kings
212,Kings XI Punjab
213,Kolkata Knight Riders
214,Deccan Chargers
215,Mumbai Indians
216,Chennai Super Kings
217,Royal Challengers Bangalore
218,Delhi Daredevils
219,Rajasthan Royals
220,Royal Challengers Bangalore
221,Mumbai Indians
222,Kolkata Knight Riders
223,Rajasthan Royals
224,Chennai Super Kings
225,Deccan Chargers
226,Royal Challengers Bangalore
227,Rajasthan Royals
228,Chennai Super Kings
229,Deccan Chargers
230,Mumbai Indians
231,Mumbai Indians
232,Chennai Super Kings
233,Deccan Chargers
234,Chennai Super Kings
